Rk,Player,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD
1,Mike Rozier,275,2148,7.8,29,10,106,10.6,0,285,2254,7.9,29
2,Turner Gill,109,531,4.9,11,,,,,109,531,4.9,11
3,Jeff Smith,78,439,5.6,5,6,146,24.3,2,84,585,7.0,7
4,Mark Schellen,77,450,5.8,9,2,10,5.0,0,79,460,5.8,9
5,Nate Mason,35,222,6.3,2,,,,,35,222,6.3,2
6,Paul Miles,29,281,9.7,3,1,24,24.0,0,30,305,10.2,3
7,Tom Rathman,26,143,5.5,0,2,26,13.0,1,28,169,6.0,1
8,Irving Fryar,23,318,13.8,2,40,780,19.5,8,63,1098,17.4,10
9,Craig Sundberg,18,86,4.8,4,,,,,18,86,4.8,4
10,Tim Brungardt,18,65,3.6,1,1,8,8.0,0,19,73,3.8,1
11,Scott Porter,9,31,3.4,0,,,,,9,31,3.4,0
12,Greg Divis,6,28,4.7,0,,,,,6,28,4.7,0
13,Pat Borer,4,24,6.0,0,,,,,4,24,6.0,0
14,Bob Kingston,4,1,0.3,0,,,,,4,1,0.3,0
15,Shane Swanson,3,25,8.3,0,5,66,13.2,1,8,91,11.4,1
16,Travis Turner,3,19,6.3,0,,,,,3,19,6.3,0
17,Jim Thompson,2,-4,-2.0,0,1,4,4.0,0,3,0,0.0,0
18,Ricky Simmons,1,12,12.0,0,13,137,10.5,0,14,149,10.6,0
19,Roger Lindstrom,1,11,11.0,0,,,,,1,11,11.0,0
20,Napier,1,4,4.0,0,,,,,1,4,4.0,0
21,Woodruff,1,1,1.0,0,,,,,1,1,1.0,0
22,Scott Kimball,,,,,12,207,17.3,1,12,207,17.3,1
23,Monte Engebritson,,,,,7,95,13.6,1,7,95,13.6,1
24,Todd Frain,,,,,5,100,20.0,3,5,100,20.0,3
25,Brian Hiemer,,,,,2,31,15.5,1,2,31,15.5,1
